                                                year                                         Afghanistan                                             Albania                                             Algeria                                              Angola                                   Antigua & Barbuda                                           Argentina                                             Armenia                                           Australia                                             Austria                                          Azerbaijan                                             Bahamas                                             Bahrain                                          Bangladesh                                            Barbados                                             Belarus                                             Belgium                                              Belize                                               Benin                                             Bermuda                                              Bhutan                                             Bolivia                                            Botswana                                              Brazil                                              Brunei                                            Bulgaria                                        Burkina Faso                                             Burundi                                            Cambodia                                              Canada                                          Cape Verde                            Central African Republic                                                Chad                                               Chile                                               China                                            Colombia                                             Comoros                                               Congo                                        Cook Islands                                          Costa Rica                                       Cote D Ivoire                                                Cuba                                              Cyprus                                      Czech Republic               Democratic People S Republic Of Korea                    Democratic Republic Of The Congo                                             Denmark                                            Djibouti                                            Dominica                                  Dominican Republic                                             Ecuador                                               Egypt                                         El Salvador                                   Equatorial Guinea                                             Estonia                                            Ethiopia                                      Faeroe Islands                                    Falkland Islands                                                Fiji                                             Finland                                              France                                       French Guiana                                    French Polynesia                                               Gabon                                              Gambia                                             Georgia                                             Germany                                               Ghana                                              Greece                                           Greenland                                             Grenada                                          Guadeloupe                                           Guatemala                                              Guinea                                       Guinea Bissau                                              Guyana                                               Haiti                                            Honduras                                           Hong Kong                                             Hungary                                             Iceland                                               India                                           Indonesia                                                Iraq                                             Ireland                            Islamic Republic Of Iran                                              Israel                        Italy (Including San Marino)                                             Jamaica                                               Japan                                              Jordan                                          Kazakhstan                                               Kenya                                            Kiribati                                              Kuwait                                          Kyrgyzstan                                                Laos                                              Latvia                                             Lebanon                                             Liberia                                               Libya                                           Lithuania                                          Luxembourg                                          Madagascar                                              Malawi                                            Malaysia                                            Maldives                                                Mali                                               Malta                                          Martinique                                          Mauritania                                           Mauritius                                              Mexico                                            Mongolia                                             Morocco                                          Mozambique                                             Myanmar                                             Namibia                                               Nauru                                               Nepal                                         Netherlands                                       New Caledonia                                         New Zealand                                           Nicaragua                                               Niger                                             Nigeria                                              Norway                                                Oman                                            Pakistan                                              Panama                                    Papua New Guinea                                            Paraguay                                                Peru                                         Philippines                                              Poland                                            Portugal                                               Qatar                                Republic Of Cameroon                                   Republic Of Korea                                 Republic Of Moldova                                             Reunion                                             Romania                                              Russia                                              Rwanda                                         Saint Lucia                                               Samoa                                 Sao Tome & Principe                                        Saudi Arabia                                             Senegal                                          Seychelles                                        Sierra Leone                                           Singapore                                            Slovakia                                     Solomon Islands                                             Somalia                                        South Africa                                               Spain                                           Sri Lanka                                     St. Kitts-Nevis                        St. Vincent & The Grenadines                                               Sudan                                            Suriname                                           Swaziland                                              Sweden                                         Switzerland                                               Syria                                              Taiwan                                          Tajikistan                                            Thailand                                                Togo                                               Tonga                                 Trinidad And Tobago                                             Tunisia                                              Turkey                                        Turkmenistan                                              Uganda                                             Ukraine                                United Arab Emirates                                      United Kingdom                         United Republic Of Tanzania                            United States Of America                                             Uruguay                                          Uzbekistan                                             Vanuatu                                           Venezuela                                             Vietnam                                               Yemen                                          Yugoslavia                                              Zambia                                            Zimbabwe
                                       1993.50000000                                          0.00040800                                          0.00063200                                          0.02225800                                          0.00157200                                          0.00007000                                          0.03199800                                          0.00069300                                          0.07649600                                          0.01545500                                          0.01320100                                          0.00047600                                          0.00459800                                          0.00440000                                          0.00029800                                          0.02105800                                          0.02908500                                          0.00010300                                          0.00026200                                          0.00014700                                          0.00004900                                          0.00313400                                          0.00087200                                          0.06246800                                          0.00173500                                          0.01853700                                          0.00017100                                          0.00006200                                          0.00037800                                          0.12179100                                          0.00004700                                          0.00005400                                          0.00011000                                          0.00935700                                          0.77292901                                          0.01723300                                          0.00002000                                          0.00031800                                          0.00001300                                          0.00106300                                          0.00145200                                          0.00539300                                          0.00157700                                          0.03602100                                          0.02621000                                          0.00072900                                          0.01555400                                          0.00008300                                          0.00001700                                          0.00306100                                          0.00654200                                          0.02524800                                          0.00108600                                          0.00001900                                          0.00507500                                          0.00082200                                          0.00015900                                          0.00001100                                          0.00020000                                          0.01372700                                          0.09767300                                          0.00000000                                          0.00012800                                          0.00135900                                          0.00005700                                          0.00270800                                          0.23832200                                          0.00119200                                          0.02047200                                          0.00011100                                          0.00003300                                          0.00000000                                          0.00152400                                          0.00029700                                          0.00005000                                          0.00028500                                          0.00018700                                          0.00080700                                          0.00952400                                          0.01681200                                          0.00053700                                          0.19660801                                          0.05822000                                          0.01724800                                          0.00851700                                          0.06443700                                          0.01247600                                          0.11149200                                          0.00217500                                          0.30542800                                          0.00324500                                          0.05854500                                          0.00171500                                          0.00000800                                          0.01341300                                          0.00231500                                          0.00016600                                          0.00315300                                          0.00313500                                          0.00011400                                          0.01059500                                          0.00452400                                          0.00296400                                          0.00028200                                          0.00024000                                          0.02387200                                          0.00005400                                          0.00013700                                          0.00074600                                          0.00000000                                          0.00026700                                          0.00048400                                          0.09209800                                          0.00251300                                          0.00735600                                          0.00031100                                          0.00145500                                          0.00037900                                          0.00003100                                          0.00038600                                          0.04644100                                          0.00050100                                          0.00727300                                          0.00062300                                          0.00016500                                          0.01227400                                          0.00963000                                          0.00361800                                          0.02121900                                          0.00103400                                          0.00059800                                          0.00079100                                          0.00647100                                          0.01344200                                          0.09612300                                          0.01263200                                          0.00837900                                          0.00079000                                          0.08787900                                          0.00422600                                          0.00000000                                          0.03408400                                          0.52777398                                          0.00013200                                          0.00006400                                          0.00002800                                          0.00001300                                          0.09279100                                          0.00097400                                          0.00005000                                          0.00007200                                          0.01394000                                          0.01163700                                          0.00004700                                          0.00017100                                          0.08782900                                          0.05951800                                          0.00137100                                          0.00004600                                          0.00002800                                          0.00082100                                          0.00055500                                          0.00019400                                          0.01410600                                          0.01107500                                          0.01238200                                          0.04031600                                          0.00140600                                          0.03312900                                          0.00023200                                          0.00002300                                          0.00475300                                          0.00446700                                          0.04269000                                          0.00751600                                          0.00021900                                          0.14672500                                          0.01793000                                          0.14873500                                          0.00066900                                          1.37062395                                          0.00120400                                          0.03152700                                          0.00001800                                          0.03390300                                          0.00627700                                          0.00236100                                          0.02440300                                          0.00067800                                          0.00439300
                                       1994.50000000                                          0.00039900                                          0.00052200                                          0.02341300                                          0.00165000                                          0.00007300                                          0.03320000                                          0.00073600                                          0.07663100                                          0.01547300                                          0.01143800                                          0.00048300                                          0.00394400                                          0.00480300                                          0.00031600                                          0.01775000                                          0.03031200                                          0.00010200                                          0.00028900                                          0.00014500                                          0.00005700                                          0.00342100                                          0.00082700                                          0.06559500                                          0.00167600                                          0.01489100                                          0.00017600                                          0.00006400                                          0.00040200                                          0.12464100                                          0.00004800                                          0.00005700                                          0.00011100                                          0.01030500                                          0.82011801                                          0.01815800                                          0.00002000                                          0.00048400                                          0.00001300                                          0.00142000                                          0.00126500                                          0.00580800                                          0.00177900                                          0.03415400                                          0.02397800                                          0.00046600                                          0.01661600                                          0.00008200                                          0.00001900                                          0.00322100                                          0.00366100                                          0.02312500                                          0.00123200                                          0.00002100                                          0.00523800                                          0.00081000                                          0.00015700                                          0.00001100                                          0.00019900                                          0.01558700                                          0.09166500                                          0.00000000                                          0.00013100                                          0.00119600                                          0.00005700                                          0.00165700                                          0.23531400                                          0.00140700                                          0.02108000                                          0.00010700                                          0.00003900                                          0.00000000                                          0.00184400                                          0.00033800                                          0.00005000                                          0.00039800                                          0.00005000                                          0.00088600                                          0.00851700                                          0.01596400                                          0.00054700                                          0.20775300                                          0.05898800                                          0.01942100                                          0.00891100                                          0.07207500                                          0.01338700                                          0.11032500                                          0.00222700                                          0.32339400                                          0.00365500                                          0.05428400                                          0.00177200                                          0.00000800                                          0.01508200                                          0.00167500                                          0.00017300                                          0.00278600                                          0.00340400                                          0.00011300                                          0.01199300                                          0.00436300                                          0.00281700                                          0.00031500                                          0.00024500                                          0.02492200                                          0.00005400                                          0.00015000                                          0.00066900                                          0.00000000                                          0.00030800                                          0.00044300                                          0.09567000                                          0.00214900                                          0.00772800                                          0.00030000                                          0.00170000                                          0.00043100                                          0.00003000                                          0.00044800                                          0.04634600                                          0.00054000                                          0.00727000                                          0.00068700                                          0.00015900                                          0.00957000                                          0.00928000                                          0.00412000                                          0.02307800                                          0.00114100                                          0.00059500                                          0.00092800                                          0.00642400                                          0.01487600                                          0.09068100                                          0.01280900                                          0.00827500                                          0.00078200                                          0.09383700                                          0.00330700                                          0.00000000                                          0.03238700                                          0.46254301                                          0.00012600                                          0.00007100                                          0.00002600                                          0.00001300                                          0.08938200                                          0.00105700                                          0.00005500                                          0.00008700                                          0.01679900                                          0.01096300                                          0.00005000                                          0.00016900                                          0.09281300                                          0.06350500                                          0.00150000                                          0.00004800                                          0.00003300                                          0.00112900                                          0.00055600                                          0.00029400                                          0.01496700                                          0.01110500                                          0.01265000                                          0.04182200                                          0.00063900                                          0.03652400                                          0.00022400                                          0.00002500                                          0.00464700                                          0.00428600                                          0.04243700                                          0.00913200                                          0.00019400                                          0.12023700                                          0.01986400                                          0.14905900                                          0.00056700                                          1.38836098                                          0.00108900                                          0.02945700                                          0.00001800                                          0.03542300                                          0.00718700                                          0.00245900                                          0.02158400                                          0.00065700                                          0.00476200
                                       1995.50000000                                          0.00038900                                          0.00056400                                          0.02581500                                          0.00151600                                          0.00007400                                          0.03473700                                          0.00092600                                          0.07766600                                          0.01623400                                          0.00908600                                          0.00050200                                          0.00404800                                          0.00576000                                          0.00034900                                          0.01655400                                          0.03030900                                          0.00010300                                          0.00031100                                          0.00014500                                          0.00006700                                          0.00337700                                          0.00083100                                          0.06983000                                          0.00182600                                          0.01606200                                          0.00017100                                          0.00006500                                          0.00042200                                          0.12783100                                          0.00005400                                          0.00005700                                          0.00011500                                          0.01128900                                          0.88971901                                          0.01598300                                          0.00002100                                          0.00032500                                          0.00001300                                          0.00131100                                          0.00179300                                          0.00620700                                          0.00155300                                          0.03364400                                          0.02248300                                          0.00057700                                          0.01557400                                          0.00008500                                          0.00002200                                          0.00412400                                          0.00614900                                          0.02595900                                          0.00136500                                          0.00002300                                          0.00462000                                          0.00091600                                          0.00015600                                          0.00001200                                          0.00020300                                          0.01435700                                          0.09485400                                          0.00000000                                          0.00012900                                          0.00125900                                          0.00005900                                          0.00062600                                          0.23537301                                          0.00142300                                          0.02118300                                          0.00010800                                          0.00004100                                          0.00000000                                          0.00193200                                          0.00034900                                          0.00005000                                          0.00042800                                          0.00023900                                          0.00105200                                          0.00856800                                          0.01638600                                          0.00053000                                          0.22036600                                          0.06003600                                          0.02024100                                          0.00898300                                          0.07417100                                          0.01409300                                          0.11689500                                          0.00249300                                          0.32630900                                          0.00364100                                          0.04583900                                          0.00204000                                          0.00000800                                          0.01491900                                          0.00122900                                          0.00018300                                          0.00246700                                          0.00364000                                          0.00011400                                          0.01251000                                          0.00413500                                          0.00229100                                          0.00032600                                          0.00024800                                          0.03130300                                          0.00006800                                          0.00016300                                          0.00060700                                          0.00000000                                          0.00029200                                          0.00049900                                          0.09031700                                          0.00214200                                          0.00789600                                          0.00030900                                          0.00189400                                          0.00044400                                          0.00002900                                          0.00063600                                          0.04817800                                          0.00056500                                          0.00739200                                          0.00075200                                          0.00015400                                          0.00915200                                          0.00913900                                          0.00430200                                          0.02297400                                          0.00099700                                          0.00056200                                          0.00106300                                          0.00666000                                          0.01647700                                          0.09335800                                          0.01397100                                          0.00854700                                          0.00088100                                          0.10198300                                          0.00305100                                          0.00000000                                          0.03418600                                          0.44443899                                          0.00012400                                          0.00007500                                          0.00003100                                          0.00001300                                          0.07143700                                          0.00094500                                          0.00005400                                          0.00007300                                          0.01147700                                          0.01140800                                          0.00005200                                          0.00016000                                          0.09908200                                          0.06580400                                          0.00160300                                          0.00005100                                          0.00003500                                          0.00116700                                          0.00056100                                          0.00029000                                          0.01503800                                          0.01067600                                          0.01129100                                          0.04375500                                          0.00066600                                          0.04261000                                          0.00025500                                          0.00002600                                          0.00449300                                          0.00431400                                          0.04623700                                          0.00926400                                          0.00025600                                          0.12147600                                          0.01916900                                          0.14675599                                          0.00067200                                          1.39922595                                          0.00123400                                          0.02799500                                          0.00001800                                          0.03633400                                          0.00788900                                          0.00283700                                          0.02264500                                          0.00058900                                          0.00411400
                                       1996.50000000                                          0.00037600                                          0.00054400                                          0.02631500                                          0.00181900                                          0.00007900                                          0.03666300                                          0.00069400                                          0.08301900                                          0.01715900                                          0.00852000                                          0.00049500                                          0.00437400                                          0.00590700                                          0.00036400                                          0.01656100                                          0.03183200                                          0.00008400                                          0.00034900                                          0.00014400                                          0.00008000                                          0.00313300                                          0.00075200                                          0.07684600                                          0.00180400                                          0.01565100                                          0.00019300                                          0.00006600                                          0.00044000                                          0.13083200                                          0.00005900                                          0.00005800                                          0.00011900                                          0.01311900                                          0.92819399                                          0.01624200                                          0.00002200                                          0.00036600                                          0.00001400                                          0.00127900                                          0.00212600                                          0.00634200                                          0.00173200                                          0.03406100                                          0.01985100                                          0.00063400                                          0.01967800                                          0.00008400                                          0.00002000                                          0.00449900                                          0.00650700                                          0.02558400                                          0.00120500                                          0.00003500                                          0.00487100                                          0.00101700                                          0.00016400                                          0.00001000                                          0.00021800                                          0.01669200                                          0.10195200                                          0.00000000                                          0.00012800                                          0.00130000                                          0.00006000                                          0.00110700                                          0.24236800                                          0.00151100                                          0.02155500                                          0.00011100                                          0.00004200                                          0.00000000                                          0.00179400                                          0.00036900                                          0.00005600                                          0.00045100                                          0.00027800                                          0.00106500                                          0.00792600                                          0.01684000                                          0.00060200                                          0.23946500                                          0.06797100                                          0.01892700                                          0.00951000                                          0.07567300                                          0.01467200                                          0.11532600                                          0.00263500                                          0.33165100                                          0.00381200                                          0.03857600                                          0.00252100                                          0.00000800                                          0.01364500                                          0.00154200                                          0.00020600                                          0.00240800                                          0.00368600                                          0.00011700                                          0.01219400                                          0.00435500                                          0.00232900                                          0.00034000                                          0.00024600                                          0.03123600                                          0.00007900                                          0.00017600                                          0.00059400                                          0.00000000                                          0.00030200                                          0.00053200                                          0.09399100                                          0.00216900                                          0.00811400                                          0.00030000                                          0.00197500                                          0.00047600                                          0.00002800                                          0.00064800                                          0.05014300                                          0.00059800                                          0.00780300                                          0.00077700                                          0.00017600                                          0.01007200                                          0.00910800                                          0.00407600                                          0.02568600                                          0.00121400                                          0.00059700                                          0.00100500                                          0.00653700                                          0.01685400                                          0.09690000                                          0.01354900                                          0.00865100                                          0.00098500                                          0.10963300                                          0.00314200                                          0.00000000                                          0.03407900                                          0.43951601                                          0.00012700                                          0.00008000                                          0.00003400                                          0.00001300                                          0.07029700                                          0.00101000                                          0.00006400                                          0.00008300                                          0.01352700                                          0.01118800                                          0.00005400                                          0.00015700                                          0.09964600                                          0.06365500                                          0.00191900                                          0.00005300                                          0.00003600                                          0.00120400                                          0.00056700                                          0.00021500                                          0.01523400                                          0.01085600                                          0.01160000                                          0.04566400                                          0.00077000                                          0.04759800                                          0.00028400                                          0.00002100                                          0.00566800                                          0.00441800                                          0.05049000                                          0.00835600                                          0.00028700                                          0.11233500                                          0.01992800                                          0.15036500                                          0.00069900                                          1.43145502                                          0.00146400                                          0.02880000                                          0.00002300                                          0.03346300                                          0.00940200                                          0.00288400                                          0.02529200                                          0.00050600                                          0.00408200
