Nation,2021,2022,2023
Afghanistan,0.9185344729234255,1.0396805528878865,1.0882923906370505
Albania,0.9481513818832078,0.9770759217017116,0.9453134282361882
Algeria,2.038167918840045,0.7003745199780923,0.8888058330867036
Angola,1.23069978744425,1.1894124608274153,1.3392347456763085
Antigua & Barbuda,0.9293013817649597,1.0386071003294497,1.0169346798016234
Argentina,1.4030899047640302,1.0597178777338612,0.8591261659753194
Armenia,1.080975789689599,0.9123725317698904,1.0147330862626367
Australia,0.9666418629211737,0.9481898636698238,0.976702941235723
Austria,1.038921857732852,0.9494835459502514,0.9336134177464924
Azerbaijan,0.3373493731664232,0.5,1.0
Bahamas,0.9293013817649597,1.0386071003294497,1.0169346798016234
Bahrain,1.3695874174343707,1.345606285181726,1.7653987658312547
Bangladesh,0.8082815492041281,1.3092731454442823,1.413274093676058
Barbados,0.9293013817649597,1.0386071003294497,1.0169346798016234
Belarus,1.0167541518894279,1.0991832633229013,1.0348596160548371
Belgium,1.105968183470209,1.042421443149116,0.8507291735356275
Belize,1.1225160684179967,0.6923463943127627,1.150753790430215
Benin,1.3895861084895569,0.9190600012260733,0.944089646039225
Bermuda,0.9293013817649597,1.0386071003294497,1.0169346798016234
Bhutan,0.9185344729234255,1.0396805528878865,1.0882923906370505
Bolivia,1.3102313176996234,0.7445884676664607,1.1142244580176626
Botswana,1.3060855515280374,1.1361059625885346,1.012094031584183
Brazil,1.2131740609762087,0.8219039253934884,0.9780648101948182
Brunei,0.9185344729234255,1.0396805528878865,1.0882923906370505
Bulgaria,1.2611335138030568,1.192581422869352,0.6130283483028318
Burkina Faso,1.3895861084895569,0.9190600012260733,0.944089646039225
Burundi,1.1062781140825,1.097687585366661,1.1159479476214884
Cambodia,0.9185344729234255,1.0396805528878865,1.0882923906370505
Canada,0.8977901901027074,0.8151396783155362,0.9625878390995322
Cape Verde,1.3895861084895569,0.9190600012260733,0.944089646039225
Central African Republic,1.23069978744425,1.1894124608274153,1.3392347456763085
Chad,1.23069978744425,1.1894124608274153,1.3392347456763085
Chile,1.1088966890508225,0.8166935670053177,0.7363948483587038
China,1.0390095366083145,1.0033848489399164,1.046755922374271
Colombia,0.6625734149903014,0.9012566619834652,1.529105432926065
Comoros,1.1062781140825,1.097687585366661,1.1159479476214884
Congo,1.23069978744425,1.1894124608274153,1.3392347456763085
Cook Islands,0.9185344729234255,1.0396805528878865,1.0882923906370505
Costa Rica,1.1225160684179967,0.6923463943127627,1.150753790430215
Cote D Ivoire,1.3895861084895569,0.9190600012260733,0.944089646039225
Cuba,0.9293013817649597,1.0386071003294497,1.0169346798016234
Cyprus,2.9605524751894614,0.7413073215903095,0.9103310408386405
Czech Republic,1.0361157910231527,1.025028792786212,0.8467100709602101
Democratic People S Republic Of Korea,0.9185344729234255,1.0396805528878865,1.0882923906370505
Democratic Republic Of The Congo,1.23069978744425,1.1894124608274153,1.3392347456763085
Denmark,1.3318611819078094,0.9823049476645195,0.6642958892639046
Djibouti,1.1062781140825,1.097687585366661,1.1159479476214884
Dominica,0.9293013817649597,1.0386071003294497,1.0169346798016234
Dominican Republic,0.9293013817649597,1.0386071003294497,1.0169346798016234
Ecuador,1.9586143963227747,1.4545866014592164,0.8605937521226804
Egypt,1.616092728963879,0.8674842038682898,1.137226500696426
El Salvador,1.1225160684179967,0.6923463943127627,1.150753790430215
Equatorial Guinea,1.23069978744425,1.1894124608274153,1.3392347456763085
Estonia,1.0911119384222638,1.0787044995578574,0.8034077731439161
Ethiopia,1.1062781140825,1.097687585366661,1.1159479476214884
Faeroe Islands,0.9481513818832078,0.9770759217017116,0.9453134282361882
Falkland Islands,1.3102313176996234,0.7445884676664607,1.1142244580176626
Fiji,0.9185344729234255,1.0396805528878865,1.0882923906370505
Finland,1.081241578142295,0.9788451161595307,0.7389183902942602
France,1.3404649281675962,0.8584323875484745,0.766585695041433
French Guiana,1.3102313176996234,0.7445884676664607,1.1142244580176626
French Polynesia,0.9185344729234255,1.0396805528878865,1.0882923906370505
Gabon,1.23069978744425,1.1894124608274153,1.3392347456763085
Gambia,1.3895861084895569,0.9190600012260733,0.944089646039225
Georgia,1.080975789689599,0.9123725317698904,1.0147330862626367
Germany,1.2079528184481412,1.0318775725045222,0.7903608532117211
Ghana,1.3895861084895569,0.9190600012260733,0.944089646039225
Greece,0.9348726301906927,0.9261539379572944,0.7171750811999544
Greenland,0.9481513818832078,0.9770759217017116,0.9453134282361882
Grenada,0.9293013817649597,1.0386071003294497,1.0169346798016234
Guadeloupe,0.9293013817649597,1.0386071003294497,1.0169346798016234
Guatemala,1.1225160684179967,0.6923463943127627,1.150753790430215
Guinea,1.3895861084895569,0.9190600012260733,0.944089646039225
Guinea Bissau,1.3895861084895569,0.9190600012260733,0.944089646039225
Guyana,1.3102313176996234,0.7445884676664607,1.1142244580176626
Haiti,0.9293013817649597,1.0386071003294497,1.0169346798016234
Honduras,1.1225160684179967,0.6923463943127627,1.150753790430215
Hong Kong,1.1107606781278823,0.9835354608546475,0.9770014470351537
Hungary,0.8133792065321621,0.9079657275773901,0.697698711110609
Iceland,1.4162086389888293,0.9894196882034403,0.7190394418573026
India,1.1353477973331896,1.0392067470271622,1.0976590995569648
Indonesia,0.9971905836962999,1.5938987091801287,0.9863508002963303
Iraq,0.05445804708872015,0.00603232871747772,0.015507464368353707
Ireland,1.3640633551004622,0.8051622871473206,0.6832890807437731
Islamic Republic Of Iran,0.972708164012106,1.0321637816125957,1.0179999449484103
Israel,0.896242590156513,0.9821823572091802,0.8647087014836322
Italy (Including San Marino),1.1000685574284774,1.3252804510789276,0.697087059324562
Jamaica,0.9293013817649597,1.0386071003294497,1.0169346798016234
Japan,1.0776828501160378,0.9971210351970519,0.9228031168159985
Jordan,1.3695874174343707,1.345606285181726,1.7653987658312547
Kazakhstan,1.028216692562845,1.0044613066851589,0.9828895800430928
Kenya,1.1062781140825,1.097687585366661,1.1159479476214884
Kiribati,0.9185344729234255,1.0396805528878865,1.0882923906370505
Kuwait,1.9324221981902163,1.426824151933602,1.0
Kyrgyzstan,1.080975789689599,0.9123725317698904,1.0147330862626367
Laos,0.9185344729234255,1.0396805528878865,1.0882923906370505
Latvia,0.7825242638341803,0.7344913239173176,0.5463320178599187
Lebanon,1.3695874174343707,1.345606285181726,1.7653987658312547
Liberia,1.3895861084895569,0.9190600012260733,0.944089646039225
Libya,1.1612418097358659,0.5781227040891687,1.0
Lithuania,1.198192384824218,0.9908404835657065,0.6127382306827548
Luxembourg,1.0256230357274732,1.0417226506136255,0.8153953961855556
Madagascar,1.1062781140825,1.097687585366661,1.1159479476214884
Malawi,1.1062781140825,1.097687585366661,1.1159479476214884
Malaysia,0.9245199697106095,0.9876161108109338,1.0376175187509784
Maldives,0.9185344729234255,1.0396805528878865,1.0882923906370505
Mali,1.3895861084895569,0.9190600012260733,0.944089646039225
Malta,0.9481513818832078,0.9770759217017116,0.9453134282361882
Martinique,0.9293013817649597,1.0386071003294497,1.0169346798016234
Mauritania,1.3895861084895569,0.9190600012260733,0.944089646039225
Mauritius,1.1062781140825,1.097687585366661,1.1159479476214884
Mexico,0.829077917848006,1.2305749137880482,1.080854631900199
Mongolia,0.9185344729234255,1.0396805528878865,1.0882923906370505
Morocco,1.0769231327630646,1.0045709540272842,0.9379999618487849
Mozambique,1.1062781140825,1.097687585366661,1.1159479476214884
Myanmar,0.9185344729234255,1.0396805528878865,1.0882923906370505
Namibia,1.3060855515280374,1.1361059625885346,1.012094031584183
