Nation,2021,2022,2023
Afghanistan,0.9769589588398826,0.9411372516197922,1.0096652736823015
Albania,1.0815735525904462,0.9884557559323985,1.034473566870372
Algeria,1.1107928923336943,1.0453936140723092,0.9196940781919607
Angola,1.1142531552241361,0.9385249510515944,0.8667087950685595
Antigua & Barbuda,1.1769026495235755,0.9628062901565613,1.2080337635467793
Argentina,1.0455899964362145,0.9982314977517054,0.9800135667464644
Armenia,0.9907232079404055,0.9465429187670883,1.0873873493631112
Australia,0.9352126534176972,1.0922572253694423,0.9281614306767374
Austria,1.0572508067756632,0.877697070793451,0.8696360771859395
Azerbaijan,1.0364405476585157,1.062319587825291,1.1105573740989698
Bahamas,1.1769026495235755,0.9628062901565613,1.2080337635467793
Bahrain,1.0166321577813981,0.9653985452418853,1.0407300739112753
Bangladesh,1.0231853189496445,0.9372180543449558,0.9804326343540086
Barbados,1.1769026495235755,0.9628062901565613,1.2080337635467793
Belarus,1.0569365512416928,0.9840499392808534,0.9090908927857203
Belgium,0.9977904958789982,0.8580725278417646,0.9417796001040275
Belize,0.791899070780499,2.2527861390172625,1.8356876478885475
Benin,1.3285440763400689,0.9578395593090722,0.9691609946261014
Bermuda,1.1769026495235755,0.9628062901565613,1.2080337635467793
Bhutan,0.9769589588398826,0.9411372516197922,1.0096652736823015
Bolivia,1.1044811469885643,1.072604974925697,1.1107492767193268
Botswana,0.039389391106573246,-0.0037808609579383923,0.0003706721458611728
Brazil,1.2871321027069629,0.7908634868346992,0.9374871764187306
Brunei,0.9769589588398826,0.9411372516197922,1.0096652736823015
Bulgaria,1.1305702875856676,0.8187310596920161,0.9343616252557965
Burkina Faso,1.3285440763400689,0.9578395593090722,0.9691609946261014
Burundi,1.160510660861734,1.0693792933027602,1.0301252861194188
Cambodia,0.9769589588398826,0.9411372516197922,1.0096652736823015
Canada,1.0289510409008675,1.043709581485857,0.9750732968419935
Cape Verde,1.3285440763400689,0.9578395593090722,0.9691609946261014
Central African Republic,1.1142531552241361,0.9385249510515944,0.8667087950685595
Chad,1.1142531552241361,0.9385249510515944,0.8667087950685595
Chile,1.0942186657362556,1.064888734877664,0.9654266873655876
China,1.1296745163799504,0.9931089848755461,1.07199996127869
Colombia,0.9621991711532096,0.996705907776039,1.0372984487654233
Comoros,1.160510660861734,1.0693792933027602,1.0301252861194188
Congo,1.1142531552241361,0.9385249510515944,0.8667087950685595
Cook Islands,0.9769589588398826,0.9411372516197922,1.0096652736823015
Costa Rica,0.791899070780499,2.2527861390172625,1.8356876478885475
Cote D Ivoire,1.3285440763400689,0.9578395593090722,0.9691609946261014
Cuba,1.1769026495235755,0.9628062901565613,1.2080337635467793
Cyprus,0.039389391106573246,-0.0037808609579383923,0.0003706721458611728
Czech Republic,1.071735193779582,0.8133315515797135,0.9079570926416424
Democratic People S Republic Of Korea,0.9769589588398826,0.9411372516197922,1.0096652736823015
Democratic Republic Of The Congo,1.1142531552241361,0.9385249510515944,0.8667087950685595
Denmark,1.0201856648818386,0.7145068771229658,0.9629342671682037
Djibouti,1.160510660861734,1.0693792933027602,1.0301252861194188
Dominica,1.1769026495235755,0.9628062901565613,1.2080337635467793
Dominican Republic,1.1769026495235755,0.9628062901565613,1.2080337635467793
Ecuador,1.0566575768315423,0.8605308001747028,0.9205579012623638
Egypt,1.0654613558389505,0.9753081300143052,0.9909808967490568
El Salvador,0.791899070780499,2.2527861390172625,1.8356876478885475
Equatorial Guinea,1.1142531552241361,0.9385249510515944,0.8667087950685595
Estonia,1.1308428283504945,0.8300450950489922,0.916311449858802
