Nation,2021,2022,2023
Afghanistan,0.9965031140958113,1.0457156374302723,1.0346534925966977
Albania,1.062244462295858,0.975362865860111,1.0475017491736789
Algeria,1.090504842594569,1.037539272801894,0.9602441568155302
Angola,1.1098498907164005,1.0629189928502252,1.0123412191752479
Antigua & Barbuda,1.016146865608325,0.9945828815058722,1.0643329673969393
Argentina,1.1018982919030789,1.0739917459710433,0.9906354030161759
Armenia,1.0214997433277186,0.9972221242668069,1.0263028857531666
Australia,1.0024910899567392,1.0452722521307303,1.0068872266051734
Austria,1.0147174563226855,0.9353153194439943,1.0132758164376905
Azerbaijan,1.068247728284668,1.0644741322162286,1.0835166137475858
Bahamas,1.016146865608325,0.9945828815058722,1.0643329673969393
Bahrain,1.041099812277388,0.9904683787825916,1.0265170919937683
Bangladesh,1.0767321372846934,1.0519804029562545,0.9816874613276766
Barbados,1.016146865608325,0.9945828815058722,1.0643329673969393
Belarus,1.068090681746302,0.9616968740886314,1.0058898162271106
Belgium,1.1119460924603646,0.9405982545745364,0.9245151787971788
Belize,1.123604401036169,1.033172421164817,1.0237475875529325
Benin,1.1783635103351455,1.0087482938802017,0.978861263544883
Bermuda,1.016146865608325,0.9945828815058722,1.0643329673969393
Bhutan,0.9965031140958113,1.0457156374302723,1.0346534925966977
Bolivia,1.0369553780882421,1.0392134526917238,1.0697967373449493
Botswana,1.0761579287177274,1.0763038370949567,1.0486732910156626
Brazil,1.051939403049756,1.0452382908242837,1.032558270542513
Brunei,0.9965031140958113,1.0457156374302723,1.0346534925966977
Bulgaria,1.1357483285062977,1.0341592594818658,0.8683606567389852
Burkina Faso,1.1783635103351455,1.0087482938802017,0.978861263544883
Burundi,1.0691047114055505,0.9829586420993359,1.0262918455856644
Cambodia,0.9965031140958113,1.0457156374302723,1.0346534925966977
Canada,1.011851645688232,1.0271523444931723,0.9755570072423635
Cape Verde,1.1783635103351455,1.0087482938802017,0.978861263544883
Central African Republic,1.1098498907164005,1.0629189928502252,1.0123412191752479
Chad,1.1098498907164005,1.0629189928502252,1.0123412191752479
Chile,1.077697381344587,1.0558832555537294,1.0011166216526362
China,1.0567144408693916,1.015264667482509,1.0653973466377087
Colombia,1.1212662065581358,1.0614569847168016,1.0269116796788305
Comoros,1.0691047114055505,0.9829586420993359,1.0262918455856644
Congo,1.1098498907164005,1.0629189928502252,1.0123412191752479
Cook Islands,0.9965031140958113,1.0457156374302723,1.0346534925966977
Costa Rica,1.123604401036169,1.033172421164817,1.0237475875529325
Cote D Ivoire,1.1783635103351455,1.0087482938802017,0.978861263544883
Cuba,1.016146865608325,0.9945828815058722,1.0643329673969393
Cyprus,1.055183675658885,1.0614048789854469,1.0133032236732338
Czech Republic,1.0538637965166615,0.9771125397663262,0.9289966372644065
Democratic People S Republic Of Korea,0.9965031140958113,1.0457156374302723,1.0346534925966977
Democratic Republic Of The Congo,1.1098498907164005,1.0629189928502252,1.0123412191752479
Denmark,1.0733761359011025,1.041401642584369,0.991104194652892
Djibouti,1.0691047114055505,0.9829586420993359,1.0262918455856644
Dominica,1.016146865608325,0.9945828815058722,1.0643329673969393
Dominican Republic,1.016146865608325,0.9945828815058722,1.0643329673969393
Ecuador,1.1626057412338247,1.047657082088632,1.0519971040231948
Egypt,1.0704444564482989,1.045050650690586,0.9885429013755136
El Salvador,1.123604401036169,1.033172421164817,1.0237475875529325
Equatorial Guinea,1.1098498907164005,1.0629189928502252,1.0123412191752479
Estonia,1.0454238619885947,1.032423082318253,0.8757016826561003
Ethiopia,1.0691047114055505,0.9829586420993359,1.0262918455856644
Faeroe Islands,1.062244462295858,0.975362865860111,1.0475017491736789
Falkland Islands,1.0369553780882421,1.0392134526917238,1.0697967373449493
Fiji,0.9965031140958113,1.0457156374302723,1.0346534925966977
Finland,1.0213087128703195,1.0002803654019454,1.0356251878015517
France,1.0624532262989634,0.8862344124108188,1.047017830939508
French Guiana,1.0369553780882421,1.0392134526917238,1.0697967373449493
French Polynesia,0.9965031140958113,1.0457156374302723,1.0346534925966977
Gabon,1.1098498907164005,1.0629189928502252,1.0123412191752479
Gambia,1.1783635103351455,1.0087482938802017,0.978861263544883
Georgia,1.0214997433277186,0.9972221242668069,1.0263028857531666
Germany,1.0292399506310512,0.9628783075561006,0.9286696528865674
Ghana,1.1783635103351455,1.0087482938802017,0.978861263544883
Greece,1.0923615413436398,1.0390077395241564,0.9708706087906496
Greenland,1.062244462295858,0.975362865860111,1.0475017491736789
Grenada,1.016146865608325,0.9945828815058722,1.0643329673969393
Guadeloupe,1.016146865608325,0.9945828815058722,1.0643329673969393
Guatemala,1.123604401036169,1.033172421164817,1.0237475875529325
Guinea,1.1783635103351455,1.0087482938802017,0.978861263544883
Guinea Bissau,1.1783635103351455,1.0087482938802017,0.978861263544883
Guyana,1.0369553780882421,1.0392134526917238,1.0697967373449493
Haiti,1.016146865608325,0.9945828815058722,1.0643329673969393
Honduras,1.123604401036169,1.033172421164817,1.0237475875529325
Hong Kong,0.9446771311667637,0.8926908007073017,1.153974696611533
Hungary,1.0504242072516434,0.9403384302752681,0.9472543337521424
Iceland,1.044128849300864,1.0509521387097678,0.985917254581256
India,1.0857126994337511,1.0540532245305902,1.0727169843459683
Indonesia,1.0232467655243438,1.2607745065116462,1.0058433721849462
Iraq,1.036486825814559,1.119640513188806,1.051350509592215
Ireland,1.0191352464908139,1.0363397355604156,0.9720365207546084
Islamic Republic Of Iran,0.9805497634475028,1.0435919647692358,1.0185305451328852
Israel,1.0242306346436787,1.0568562991067199,1.0026247539585902
Italy (Including San Marino),1.070615955391535,0.9715224703002425,0.9611134911691389
Jamaica,1.016146865608325,0.9945828815058722,1.0643329673969393
Japan,1.0439837608762694,0.9935283960690626,0.9659317977116135
Jordan,1.041099812277388,0.9904683787825916,1.0265170919937683
Kazakhstan,1.1172225805319496,0.9964455054099041,1.0107446784875302
Kenya,1.0691047114055505,0.9829586420993359,1.0262918455856644
Kiribati,0.9965031140958113,1.0457156374302723,1.0346534925966977
Kuwait,1.0660222448223706,1.0194502822905431,1.0132115983583627
Kyrgyzstan,1.0214997433277186,0.9972221242668069,1.0263028857531666
Laos,0.9965031140958113,1.0457156374302723,1.0346534925966977
Latvia,1.0432489150730193,0.9026335712820542,1.0456833510892045
Lebanon,1.041099812277388,0.9904683787825916,1.0265170919937683
