Nation,Year,gas,oil,coal,flaring
Afghanistan,2020,1.0,1.0,1.0,1.0
Afghanistan,2021,0.9769589588398826,0.9965031140958113,0.9185344729234255,1.2278099308321306
Afghanistan,2022,0.9194524694679008,1.0420588891579525,0.9549824286556104,1.4081227289908913
Afghanistan,2023,0.9283392292231761,1.0781698691587107,1.0393001102979909,1.1885270875966483
Albania,2020,1.0,1.0,1.0,1.0
Albania,2021,1.0815735525904462,1.062244462295858,0.9481513818832078,1.0432919632657147
Albania,2022,1.0690876035222792,1.0360738029889207,0.9264158853662867,0.886235017627225
Albania,2023,1.1059428665125903,1.0852891209039202,0.8757533765680681,0.9039023477578535
Algeria,2020,1.0,1.0,1.0,1.0
Algeria,2021,1.1107928923336943,1.090504842594569,2.038167918840045,0.8718796991892348
Algeria,2022,1.1612157962025542,1.1314416013725128,1.427480877792344,0.9177355057522976
Algeria,2023,1.0679632912704518,1.086460186495962,1.2687533308015633,0.8897822006455938
Angola,2020,1.0,1.0,1.0,1.0
Angola,2021,1.1142531552241361,1.1098498907164005,1.23069978744425,0.9467487015688956
Angola,2022,1.0457543879658169,1.179680528055209,1.4638096627238422,1.0083208767232579
Angola,2023,0.9063645255315121,1.1942392240087105,1.9603847613764878,0.916733576730322
Antigua & Barbuda,2020,1.0,1.0,1.0,1.0
Antigua & Barbuda,2021,1.1769026495235755,1.016146865608325,0.9293013817649597,1.044081698816486
Antigua & Barbuda,2022,1.1331292738632213,1.010642277629888,0.9651790134470557,1.1216863640868884
Antigua & Barbuda,2023,1.3688584212900166,1.07565989432662,0.9815240109910284,1.279970687935487
Argentina,2020,1.0,1.0,1.0,1.0
Argentina,2021,1.0455899964362145,1.1018982919030789,1.4030899047640302,1.168282795994839
Argentina,2022,1.0437408681767228,1.1834296704034981,1.4868794561463436,1.079600572996406
Argentina,2023,1.0228802109809214,1.1723473284814696,1.2774170464264762,1.026326312806211
Armenia,2020,1.0,1.0,1.0,1.0
Armenia,2021,0.9907232079404055,1.0214997433277186,1.080975789689599,1.245417331838853
Armenia,2022,0.9377620369342043,1.0186621439792658,0.9862526180210561,1.2878904623972178
Armenia,2023,1.0197105756752365,1.045455897973428,1.0007831629191115,2.9586008995509294
Australia,2020,1.0,1.0,1.0,1.0
Australia,2021,0.9352126534176972,1.0024910899567392,0.9666418629211737,0.8325198429094535
Australia,2022,1.0214927779524077,1.0478761193400712,0.9165600162207723,0.7220889545207999
Australia,2023,0.9481101982102615,1.0550930796281162,0.8952068636618903,0.6797737424877071
Austria,2020,1.0,1.0,1.0,1.0
Austria,2021,1.0572508067756632,1.0147174563226855,1.038921857732852,1.0432919632657147
Austria,2022,0.9279459362010125,0.94908078180585,0.986439209445411,0.886235017627225
Austria,2023,0.8069752637984826,0.9616806040496442,0.9209528817294782,0.9039023477578535
Azerbaijan,2020,1.0,1.0,1.0,1.0
Azerbaijan,2021,1.0364405476585157,1.068247728284668,0.33734937316642316,1.0673424648821592
Azerbaijan,2022,1.101031095394013,1.1371220735577796,0.16867468658321158,1.4066372346825173
Azerbaijan,2023,1.2227582021020875,1.2320906585589586,0.16867468658321158,2.3631628086384096
Bahamas,2020,1.0,1.0,1.0,1.0
Bahamas,2021,1.1769026495235755,1.016146865608325,0.9293013817649597,1.044081698816486
