Nation,2020,2021,2022,2023
Afghanistan,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Albania,1.0,1.0815735525904462,1.0690876035222792,1.1059428665125903
Algeria,1.0,1.1107928923336943,1.1612157962025542,1.0679632912704518
Angola,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Antigua & Barbuda,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Argentina,1.0,1.0455899964362145,1.0437408681767228,1.0228802109809214
Armenia,1.0,0.9907232079404055,0.9377620369342043,1.0197105756752365
Australia,1.0,0.9352126534176972,1.0214927779524077,0.9481101982102615
Austria,1.0,1.0572508067756632,0.9279459362010125,0.8069752637984826
Azerbaijan,1.0,1.0364405476585157,1.101031095394013,1.2227582021020875
Bahamas,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Bahrain,1.0,1.0166321577813981,0.9814552061682805,1.0214299492561205
Bangladesh,1.0,1.0231853189496445,0.9589477538603087,0.940183672525122
Barbados,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Belarus,1.0,1.0569365512416928,1.0400783490731025,0.9455257549259648
Belgium,1.0,0.9977904958789982,0.8561766130553797,0.8063296682617161
Belize,1.0,0.791899070780499,1.7839792501549585,3.2748286735989303
Benin,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Bermuda,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Bhutan,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Bolivia,1.0,1.1044811469885643,1.1846719729715742,1.3158735371278338
Botswana,1.0,1.03,1.0609,1.092727
Brazil,1.0,1.2871321027069629,1.0179457827637068,0.954311117630502
Brunei,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Bulgaria,1.0,1.1305702875856676,0.925633009611321,0.8648759632508481
Burkina Faso,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Burundi,1.0,1.160510660861734,1.2410260703826401,1.2784123358345751
Cambodia,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Canada,1.0,1.0289510409008675,1.0739260602680816,1.0471566241501318
Cape Verde,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Central African Republic,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Chad,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Chile,1.0,1.0942186657362556,1.1652211306354066,1.124935576197725
China,1.0,1.1296745163799504,1.1218899122018662,1.2026659424393533
Colombia,1.0,0.9621991711532096,0.9590295983456121,0.9947999146840303
Comoros,1.0,1.160510660861734,1.2410260703826401,1.2784123358345751
Congo,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Cook Islands,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Costa Rica,1.0,0.791899070780499,1.7839792501549585,3.2748286735989303
Cote D Ivoire,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Cuba,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Cyprus,1.0,1.03,1.0609,1.092727
Czech Republic,1.0,1.071735193779582,0.8716760480393324,0.7914444503031488
Democratic People S Republic Of Korea,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Democratic Republic Of The Congo,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Denmark,1.0,1.0201856648818386,0.7289296735003391,0.701911360969207
Djibouti,1.0,1.160510660861734,1.2410260703826401,1.2784123358345751
Dominica,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Dominican Republic,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Ecuador,1.0,1.0566575768315423,0.9092863901015096,0.8370507709182766
Egypt,1.0,1.0654613558389505,1.039153122565793,1.029780893259832
El Salvador,1.0,0.791899070780499,1.7839792501549585,3.2748286735989303
Equatorial Guinea,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Estonia,1.0,1.1308428283504945,0.9386505429436575,0.8600962399154544
Ethiopia,1.0,1.160510660861734,1.2410260703826401,1.2784123358345751
Faeroe Islands,1.0,1.0815735525904462,1.0690876035222792,1.1059428665125903
Falkland Islands,1.0,1.1044811469885643,1.1846719729715742,1.3158735371278338
Fiji,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Finland,1.0,0.9998391709452024,0.5426560608728982,0.576510027491779
France,1.0,1.0605811690926448,0.9455171008665666,0.8344454093542654
French Guiana,1.0,1.1044811469885643,1.1846719729715742,1.3158735371278338
French Polynesia,1.0,0.9769589588398826,0.9194524694679008,0.9283392292231761
Gabon,1.0,1.1142531552241361,1.0457543879658169,0.9063645255315121
Gambia,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Georgia,1.0,0.9907232079404055,0.9377620369342043,1.0197105756752365
Germany,1.0,1.0531587513890588,0.8902186699219451,0.8686256879908083
Ghana,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Greece,1.0,1.1005335451059568,0.9769876083909311,0.8485714582180545
Greenland,1.0,1.0815735525904462,1.0690876035222792,1.1059428665125903
Grenada,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Guadeloupe,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Guatemala,1.0,0.791899070780499,1.7839792501549585,3.2748286735989303
Guinea,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Guinea Bissau,1.0,1.3285440763400689,1.27253207260425,1.2332884491787492
Guyana,1.0,1.1044811469885643,1.1846719729715742,1.3158735371278338
Haiti,1.0,1.1769026495235755,1.1331292738632213,1.3688584212900166
Honduras,1.0,0.791899070780499,1.7839792501549585,3.2748286735989303
Hong Kong,1.0,0.9759738211922399,0.9167080021990922,0.9802845207367913
Hungary,1.0,1.0605738888422342,0.9016972559547874,0.8029879397675473
Iceland,1.0,1.03,1.0609,1.092727
India,1.0,1.033342941185571,0.9650552502706529,1.0372793810187828
Indonesia,1.0,1.008310359603356,1.0344626169132793,1.06727143633704
Iraq,1.0,0.8882446129267187,0.9933190877666218,1.0117051660317307
Ireland,1.0,0.9604739556978732,0.9796325594891226,0.9086963333070542
Islamic Republic Of Iran,1.0,0.9694387842555798,1.0111246020774098,1.0371087849761258
Israel,1.0,1.0413153158421613,1.0775716793884942,1.1152866609842227
