Nation,Year,Cement,Clinker
Brazil,2006,39500,45000
Brazil,2007,40000,45000
Brazil,2008,51900,45000
Brazil,2009,53000,45000
Brazil,2010,59100,50000
Brazil,2011,62600,53000
Brazil,2012,68800,57000
Brazil,2013,70000,60000
Brazil,2014,72000,60000
Brazil,2015,72000,60000
Brazil,2016,57000,60000
Brazil,2017,54000,60000
Brazil,2018,53000,60000
Brazil,2019,54000,60000
Brazil,2020,57000,60000
Brazil,2021,66000,60000
Brazil,2022,65000,60000
Brazil,2023,67000,60000
Brazil,2024,68000,60000
China,2006,1200000,1000000
China,2007,1300000,1100000
China,2008,1390000,1000000
China,2009,1400000,1100000
China,2010,1880000,1500000
China,2011,2000000,1600000
China,2012,2210000,1800000
China,2013,2300000,1900000
China,2014,2480000,2000000
China,2015,2350000,2000000
China,2016,2400000,2000000
China,2017,2400000,2000000
China,2018,2200000,2000000
China,2019,2300000,1970000
China,2020,2200000,1970000
China,2021,2400000,2000000
China,2022,2100000,2000000
China,2023,2000000,2000000
China,2024,1900000,1900000
Egypt,2006,29000,35000
Egypt,2007,29000,35000
Egypt,2008,40000,38000
Egypt,2009,40000,38000
Egypt,2010,48000,46000
Egypt,2011,45000,46000
Egypt,2012,46100,46000
Egypt,2013,46000,46000
Egypt,2014,50000,46000
Egypt,2015,55000,46000
Egypt,2016,55000,46000
Egypt,2017,58000,48000
Egypt,2018,81200,48000
Egypt,2019,47000,48000
Egypt,2020,50000,48000
Egypt,2021,50000,48000
Egypt,2022,51000,48000
Egypt,2023,52000,60000
Egypt,2024,50000,60000
France,2006,21000,22000
France,2007,21000,22000
France,2008,21700,22000
France,2009,21000,22000
Germany,2006,33400,31000
Germany,2007,34000,31000
Germany,2008,33600,31000
Germany,2009,33000,31000
Germany,2010,29900,31000
Germany,2011,33000,31000
Germany,2012,32400,31000
Germany,2013,34000,31000
Germany,2014,32000,31000
Germany,2015,32000,31000
India,2006,155000,150000
India,2007,160000,160000
India,2008,177000,200000
India,2009,180000,200000
India,2010,210000,240000
India,2011,210000,250000
India,2012,270000,270000
India,2013,280000,280000
India,2014,260000,280000
India,2015,270000,280000
India,2016,280000,280000
India,2017,270000,280000
India,2018,300000,280000
India,2019,340000,280000
India,2020,340000,280000
India,2021,350000,280000
India,2022,370000,290000
India,2023,420000,300000
India,2024,450000,380000
Indonesia,2006,34000,42000
Indonesia,2007,35000,42000
Indonesia,2008,37000,42000
Indonesia,2009,37000,42000
Indonesia,2010,22000,42000
Indonesia,2011,22000,42000
Indonesia,2012,32000,47500
Indonesia,2013,35000,50000
Indonesia,2014,65000,59000
Indonesia,2015,65000,59000
Indonesia,2016,63000,78000
Indonesia,2017,66000,78000
Indonesia,2018,75200,78000
Indonesia,2019,70000,78000
Indonesia,2020,73000,78000
Indonesia,2021,65000,79000
Indonesia,2022,64000,79000
Indonesia,2023,67000,79000
Indonesia,2024,65000,79000
Iran,2006,33000,35000
Iran,2007,34000,35000
Iran,2008,44400,36000
Iran,2009,45000,40000
Iran,2010,50000,57000
Iran,2011,52000,59000
Iran,2012,70000,75000
Iran,2013,75000,80000
Iran,2014,65000,78600
Iran,2015,65000,79000
Iran,2016,55000,79000
Iran,2017,56000,80000
Iran,2018,58000,80000
Iran,2019,60000,81000
Iran,2020,60000,81000
Iran,2021,62000,81000
Iran,2022,62000,81000
Iran,2023,71000,81000
Iran,2024,72000,85000
Italy,2006,43200,46000
Italy,2007,44000,46000
Italy,2008,43000,46000
Italy,2009,43000,46000
Italy,2010,36300,46000
Italy,2011,35000,46000
Italy,2012,33000,46000
Italy,2013,29000,46000
Italy,2014,22000,46000
Italy,2015,23000,46000
Japan,2006,69900,70000
Japan,2007,70000,70000
Japan,2008,62800,70000
Japan,2009,60000,70000
Japan,2010,51500,63000
Japan,2011,47000,60000
Japan,2012,51300,55000
Japan,2013,53000,55000
Japan,2014,53800,55000
Japan,2015,55000,55000
Japan,2016,53300,53000
Japan,2017,53000,53000
Japan,2018,55300,53000
Japan,2019,53000,53000
Japan,2020,53000,53000
Japan,2021,50000,54000
Japan,2022,50000,54000
Japan,2023,48000,54000
Japan,2024,46000,50000
Mexico,2006,40600,40000
Mexico,2007,41000,40000
Mexico,2008,47600,42000
Mexico,2009,45000,42000
Mexico,2010,34500,42000
Mexico,2011,35000,42000
Mexico,2012,35400,42000
Mexico,2013,36000,42000
Mexico,2014,35000,42000
Mexico,2015,35000,42000
Mexico,2021,52000,42000
Mexico,2022,50000,42000
Mexico,2023,48000,42000
Mexico,2024,48000,42000
Other countries (rounded),2006,442000,470000
Other countries (rounded),2007,390000,470000
Other countries (rounded),2008,459000,400000
Other countries (rounded),2009,450000,410000
Other countries (rounded),2010,480000,460000
Other countries (rounded),2011,480000,460000
Other countries (rounded),2012,524000,312000
Other countries (rounded),2013,597000,291000
Other countries (rounded),2014,573000,369000
Other countries (rounded),2015,603000,368000
Other countries (rounded),2016,724000,625000
Other countries (rounded),2017,750000,721000
Other countries (rounded),2018,870000,720000
Other countries (rounded),2019,880000,720000
Other countries (rounded),2020,890000,720000
Other countries (rounded),2021,850000,600000
Other countries (rounded),2022,850000,600000
Other countries (rounded),2023,850000,600000
Other countries (rounded),2024,860000,650000
Pakistan,2008,39000,36000
Pakistan,2009,40000,38000
Pakistan,2010,30000,42000
Pakistan,2011,30000,42000
Pakistan,2012,32000,42500
Pakistan,2013,32000,42000
Pakistan,2014,32000,44000
Pakistan,2015,32000,44000
Republic of Korea,2006,55000,62000
Republic of Korea,2007,55000,62000
Republic of Korea,2008,53900,62000
Republic of Korea,2009,53000,62000
Republic of Korea,2010,47200,50000
Republic of Korea,2011,46000,50000
Republic of Korea,2012,48000,50000
Republic of Korea,2013,49000,50000
Republic of Korea,2014,63200,50000
Republic of Korea,2015,63000,50000
Republic of Korea,2016,57000,50000
Republic of Korea,2017,59000,50000
Republic of Korea,2018,57500,50000
Republic of Korea,2019,50000,50000
Republic of Korea,2020,50000,50000
Republic of Korea,2021,50000,62000
Republic of Korea,2022,50000,62000
Republic of Korea,2023,51000,62000
Republic of Korea,2024,52000,62000
Russia,2006,54700,65000
Russia,2007,59000,65000
Russia,2008,53600,65000
Russia,2009,55000,65000
Russia,2010,50400,65000
Russia,2011,52000,65000
Russia,2012,61500,80000
Russia,2013,65000,80000
