Nation,Cement 2012 (Gg),Cement 2013 (Gg),Clinker 2012 (Gg),Clinker 2013 (Gg)
United States (includes Puerto Rico),74900,77800,106000,105000
Brazil,68800,70000,57000,60000
China,2210000,2300000,1800000,1900000
Egypt,46100,46000,46000,46000
Germany,32400,34000,31000,31000
India,270000,280000,270000,280000
Indonesia,32000,35000,47500,50000
Iran,70000,75000,75000,80000
Italy,33000,29000,46000,46000
Japan,51300,53000,55000,55000
Korea Republic of,48000,49000,50000,50000
Mexico,35400,36000,42000,42000
Pakistan,32000,32000,42500,42000
Russia,61500,65000,80000,80000
Saudi Arabia,50000,50000,55000,55000
Thailand,37000,35000,50000,50000
Turkey,63900,70000,66900,67000
Vietnam,60000,65000,68000,70000
Other countries (rounded),524000,597000,312000,291000
World total (rounded),3800000,4000000,3300000,3400000
