Year,total (Gg C),gas_fuel (Gg C),liquid_fuel (Gg C),solid_fuel (Gg C),flaring (Gg C),cement (Gg C)
1993,6085000,1103000,2519000,2274000,39000,150000
1994,6130000,1103000,2536000,2292000,40000,159000
1995,6277000,1147000,2568000,2354000,40000,168000
1996,6438000,1189000,2622000,2412000,41000,173000
1997,6502000,1200000,2686000,2400000,40000,176000
1998,6493000,1206000,2740000,2337000,37000,174000
1999,6650000,1262000,2787000,2384000,37000,181000
2000,6812000,1303000,2819000,2456000,46000,188000
2001,6869000,1308000,2839000,2477000,48000,197000
2002,7037000,1345000,2841000,2592000,51000,208000
2003,7432000,1397000,2952000,2810000,50000,223000
2004,7705000,1443000,3055000,2910000,56000,241000
2005,8010000,1493000,3081000,3116000,61000,259000
2006,8253000,1520000,3084000,3307000,63000,280000
2007,8490000,1577000,3095000,3455000,65000,298000
2008,8684000,1621000,3095000,3598000,70000,300000
2009,8556000,1586000,3041000,3548000,71000,310000
2010,9024000,1713000,3108000,3812000,71000,321000
2011,9307000,1753000,3144000,3989000,65000,356000
2012,9508000,1795000,3205000,4059000,75000,373000
2013,9595000,1827000,3227000,4085000,74000,381000
2014,9634000,1838000,3265000,4070000,78000,384000
2015,9651000,1862000,3342000,3990000,77000,380000
2016,9727000,1929000,3407000,3923000,81000,388000
2017,9865000,1986000,3431000,3975000,87000,387000
2018,10120000,2060000,3473000,4095000,86000,405000
2019,10193000,2147000,3473000,4067000,91000,414000
2020,9764000,2127000,3187000,3939000,86000,426000
2021,10248000,2234000,3331000,4135000,90000,458000
