Nation,2021,2022,2023,2024
Afghanistan,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Albania,0.9481513818832078,0.98011489363624,0.9455537631149123,0.957842175387895
Algeria,2.038167918840045,0.7003745199780923,0.9679144426374124,0.825160258507768
Angola,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
Antigua & Barbuda,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Argentina,1.4030899047640302,1.0597178777338612,0.8933768668773299,0.7480852272603528
Armenia,1.080975789689599,0.9123725317698904,0.9206787111456497,1.1337027413462724
Australia,0.9666138451285519,0.9466932975750061,0.9766189857499925,1.0111135754647893
Austria,1.038921857732852,0.9568781642172441,0.9682384597722151,1.0007326878698573
Azerbaijan,0.3373493731664232,0.5,1.0,1.0027397716356208
Bahamas,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Bahrain,1.3695874174343707,1.3456625283485977,1.6817274462182412,1.1813296854847544
Bangladesh,0.8082815492041281,1.3092731454442823,1.476116229857382,1.0910688813500296
Barbados,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Belarus,1.0167541518894279,1.0991832633229013,1.0348596160548371,0.9900930663873195
Belgium,1.105453792956427,1.0423457243371472,0.8658853534181632,1.1016900020442792
Belize,1.1225160684179967,0.6923463943127627,1.1735562972894595,0.7143307432203203
Benin,1.5012474146893884,0.9546009449321367,1.1628658444703917,0.8197373727374585
Bermuda,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Bhutan,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Bolivia,1.5189830988447017,0.7535358337991633,1.1050103680841021,1.0115482998505503
Botswana,1.2880374003367416,0.8996504376340062,0.9590227547466403,1.0447208006880337
Brazil,1.2142504675170167,0.8259451737236344,0.978509042918847,0.9280342986178198
Brunei,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Bulgaria,1.260845051079051,1.1914572451066683,0.5913550266732418,0.7367345013083504
Burkina Faso,1.5012474146893884,0.9546009449321367,1.1628658444703917,0.8197373727374585
Burundi,1.1074504707105117,1.1420402789656363,1.1562224607114042,1.0210117715575304
Cambodia,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Canada,0.8977673672215175,0.8151518846558368,0.9625277835516421,0.788046862877362
Cape Verde,1.5012474146893884,0.9546009449321367,1.1628658444703917,0.8197373727374585
Central African Republic,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
Chad,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
Chile,1.1088966890508225,0.8166935670053177,0.5907274630689774,0.9269774230771631
China,1.0390095366083145,1.0033848489399164,1.0321106515743095,1.0166035388868107
Colombia,0.7940462480657324,1.3108830555319508,1.09850238577733,1.1344829439689663
Comoros,1.1074504707105117,1.1420402789656363,1.1562224607114042,1.0210117715575304
Congo,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
Cook Islands,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Costa Rica,1.1225160684179967,0.6923463943127627,1.1735562972894595,0.7143307432203203
Cote D Ivoire,1.5012474146893884,0.9546009449321367,1.1628658444703917,0.8197373727374585
Cuba,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Cyprus,2.9605524751894614,0.7413073215903095,0.8954008927005236,0.5656163685678559
Czech Republic,1.0361157910231527,1.0237158944750153,0.810984222313381,0.7981126670550112
Democratic People S Republic Of Korea,0.8917087698890631,1.0487973591087734,1.1085251805583516,1.007171428591296
Democratic Republic Of The Congo,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
Denmark,1.3318611819078094,0.9823049476645195,0.6369570087722063,0.6848365354707118
Djibouti,1.1074504707105117,1.1420402789656363,1.1562224607114042,1.0210117715575304
Dominica,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Dominican Republic,0.9293013817649597,1.0386071003294497,1.0334810230786278,1.0366911731396367
Ecuador,1.9586143963227747,1.4545866014592164,0.3801102823447977,0.3247348855287111
Egypt,1.616092728963879,0.8674842038682898,1.112981074794791,1.4030222163091728
El Salvador,1.1225160684179967,0.6923463943127627,1.1735562972894595,0.7143307432203203
Equatorial Guinea,1.23069978744425,1.1894124608274153,1.3247022318558948,0.925488446101517
