Nation,2022,2023,2024
Afghanistan,1.1468572566737232,0.8440507798978484,1.2051090789115968
Albania,0.8494602171123129,1.019935265227874,1.0758490574232675
Algeria,1.052594190007755,0.9695410007224363,1.0044477309352
Angola,1.0650353943473372,0.9091684977399581,1.1596799158850195
Antigua & Barbuda,1.0743281539733633,1.1411128180892616,0.882618806860757
Argentina,0.9240918180919401,0.9506537310902555,0.9463898085579256
Armenia,1.03410353258506,2.2972457564783353,0.6392241792169243
Australia,0.8673534458917825,0.9413988930751966,1.450618751327401
Austria,0.8494602171123129,1.019935265227874,1.0758490574232675
Azerbaijan,1.317887445654866,1.6800087118209859,0.8088156480531811
Bahamas,1.0743281539733633,1.1411128180892616,0.882618806860757
Bahrain,0.7138131116156599,0.9828857426461675,0.7792867066501497
Bangladesh,0.7426171588110143,0.9745196243359207,0.9655799012083268
Barbados,1.0743281539733633,1.1411128180892616,0.882618806860757
Belarus,1.03410353258506,2.2972457564783353,0.6392241792169243
Belgium,0.8494602171123129,1.019935265227874,1.0758490574232675
Belize,1.0743281539733633,1.1411128180892616,0.882618806860757
Benin,1.0650353943473372,0.9091684977399581,1.1596799158850195
Bermuda,1.0743281539733633,1.1411128180892616,0.882618806860757
Bhutan,1.1468572566737232,0.8440507798978484,1.2051090789115968
Bolivia,1.1741558985402583,0.9268805432472316,0.9528436819955042
Botswana,1.0650353943473372,0.9091684977399581,1.1596799158850195
Brazil,0.927933716901978,1.3175408394153263,0.9228009876755418
Brunei,0.43353224964154424,1.3532936946338365,0.8038938203382894
Bulgaria,0.8494602171123129,1.019935265227874,1.0758490574232675
Burkina Faso,1.0650353943473372,0.9091684977399581,1.1596799158850195
Burundi,1.0650353943473372,0.9091684977399581,1.1596799158850195
Cambodia,1.1468572566737232,0.8440507798978484,1.2051090789115968
Canada,0.902910092718379,1.1351376217935372,0.9046462761581603
Cape Verde,1.0650353943473372,0.9091684977399581,1.1596799158850195
Central African Republic,1.0650353943473372,0.9091684977399581,1.1596799158850195
Chad,1.0650353943473372,0.9091684977399581,1.1596799158850195
Chile,1.0743281539733633,1.1411128180892616,0.882618806860757
China,0.9198441006394709,0.97305271753744,0.981145641839581
Colombia,0.7610222370075866,1.2999877575041716,1.0096239853811884
Comoros,1.0650353943473372,0.9091684977399581,1.1596799158850195
Congo,1.0650353943473372,0.9091684977399581,1.1596799158850195
Cook Islands,1.1468572566737232,0.8440507798978484,1.2051090789115968
Costa Rica,1.0743281539733633,1.1411128180892616,0.882618806860757
Cote D Ivoire,1.0650353943473372,0.9091684977399581,1.1596799158850195
Cuba,1.0743281539733633,1.1411128180892616,0.882618806860757
Cyprus,0.8494602171123129,1.019935265227874,1.0758490574232675
Czech Republic,0.8494602171123129,1.019935265227874,1.0758490574232675
Democratic People S Republic Of Korea,1.1468572566737232,0.8440507798978484,1.2051090789115968
Democratic Republic Of The Congo,1.0650353943473372,0.9091684977399581,1.1596799158850195
Denmark,0.8881396902870287,0.8686377323758803,1.199248423237564
Djibouti,1.0650353943473372,0.9091684977399581,1.1596799158850195
Dominica,1.0743281539733633,1.1411128180892616,0.882618806860757
Dominican Republic,1.0743281539733633,1.1411128180892616,0.882618806860757
Ecuador,1.0743281539733633,1.1411128180892616,0.882618806860757
Egypt,0.9390612180445569,0.9896409803207021,0.9616414365351943
El Salvador,1.0743281539733633,1.1411128180892616,0.882618806860757
Equatorial Guinea,1.0650353943473372,0.9091684977399581,1.1596799158850195
Estonia,0.8494602171123129,1.019935265227874,1.0758490574232675
Ethiopia,1.0650353943473372,0.9091684977399581,1.1596799158850195
Faeroe Islands,0.8494602171123129,1.019935265227874,1.0758490574232675
Falkland Islands,1.0743281539733633,1.1411128180892616,0.882618806860757
Fiji,1.1468572566737232,0.8440507798978484,1.2051090789115968
Finland,0.8494602171123129,1.019935265227874,1.0758490574232675
France,0.8494602171123129,1.019935265227874,1.0758490574232675
French Guiana,1.0743281539733633,1.1411128180892616,0.882618806860757
French Polynesia,1.1468572566737232,0.8440507798978484,1.2051090789115968
Gabon,1.0650353943473372,0.9091684977399581,1.1596799158850195
Gambia,1.0650353943473372,0.9091684977399581,1.1596799158850195
Georgia,1.03410353258506,2.2972457564783353,0.6392241792169243
Germany,1.1668737631523753,1.2618986367112774,0.8275481966503709
Ghana,1.0650353943473372,0.9091684977399581,1.1596799158850195
Greece,0.8494602171123129,1.019935265227874,1.0758490574232675
Greenland,0.8494602171123129,1.019935265227874,1.0758490574232675
Grenada,1.0743281539733633,1.1411128180892616,0.882618806860757
Guadeloupe,1.0743281539733633,1.1411128180892616,0.882618806860757
Guatemala,1.0743281539733633,1.1411128180892616,0.882618806860757
Guinea,1.0650353943473372,0.9091684977399581,1.1596799158850195
Guinea Bissau,1.0650353943473372,0.9091684977399581,1.1596799158850195
Guyana,1.0743281539733633,1.1411128180892616,0.882618806860757
Haiti,1.0743281539733633,1.1411128180892616,0.882618806860757
Honduras,1.0743281539733633,1.1411128180892616,0.882618806860757
Hong Kong,1.1468572566737232,0.8440507798978484,1.2051090789115968
Hungary,0.8494602171123129,1.019935265227874,1.0758490574232675
Iceland,0.8494602171123129,1.019935265227874,1.0758490574232675
India,1.0817408971973912,0.9994386070958166,0.9392371657965924
Indonesia,1.054069539444086,1.1314280957225253,0.9349184453039828
Iraq,1.0026930485916339,0.9913350716533368,0.9870264353158634
Ireland,0.8494602171123129,1.019935265227874,1.0758490574232675
Islamic Republic Of Iran,0.9945884428095572,1.1632230582745242,0.9639368864054969
Israel,0.7747643464293313,0.6435833227621269,1.2685936427372402
Italy (Including San Marino),0.8472556424993618,0.9985821279595847,1.1238522655355405
Jamaica,1.0743281539733633,1.1411128180892616,0.882618806860757
Japan,1.1468572566737232,0.8440507798978484,1.2051090789115968
Jordan,0.7747643464293313,0.6435833227621269,1.2685936427372402
Kazakhstan,0.6807199167612105,0.9876986919339076,0.956390145781382
Kenya,1.0650353943473372,0.9091684977399581,1.1596799158850195
Kiribati,1.1468572566737232,0.8440507798978484,1.2051090789115968
Kuwait,0.6971788526397704,1.1236180366818622,0.8910872551410036
Kyrgyzstan,1.03410353258506,2.2972457564783353,0.6392241792169243
Laos,1.1468572566737232,0.8440507798978484,1.2051090789115968
Latvia,0.8494602171123129,1.019935265227874,1.0758490574232675
Lebanon,0.7747643464293313,0.6435833227621269,1.2685936427372402
Liberia,1.0650353943473372,0.9091684977399581,1.1596799158850195
Libya,0.9137020492082313,1.2448112077537086,1.0665794875537513
Lithuania,0.8494602171123129,1.019935265227874,1.0758490574232675
Luxembourg,0.8494602171123129,1.019935265227874,1.0758490574232675
Madagascar,1.0650353943473372,0.9091684977399581,1.1596799158850195
Malawi,1.0650353943473372,0.9091684977399581,1.1596799158850195
Malaysia,0.8152824763986537,0.9755796591946705,1.0095407895221578
Maldives,1.1468572566737232,0.8440507798978484,1.2051090789115968
Mali,1.0650353943473372,0.9091684977399581,1.1596799158850195
Malta,0.8494602171123129,1.019935265227874,1.0758490574232675
