Nation,2022,2023,2024
Afghanistan,0.9335423997824365,0.9910240817205968,0.8920227051918709
Albania,0.9889752006734752,1.0083060373925845,0.9747522179936229
Algeria,1.0453936140723092,1.0773614007242436,0.932044456452551
Angola,1.0588772431210627,0.9039331286867904,1.0139937968183605
Antigua & Barbuda,0.9637534724848267,1.140733793999727,1.0956835167396533
Argentina,0.9982519712002018,0.9802361848023636,1.0150182337903446
Armenia,1.0019008128391365,0.9447524802579097,1.0023078054072547
Australia,1.0922572253694423,0.8935882391964378,0.9576815776675579
Austria,0.877697070793451,0.8696360771859395,0.9913672571726787
Azerbaijan,1.062319587825291,1.0284783898676058,0.9118124184511838
Bahamas,0.9637534724848267,1.140733793999727,1.0956835167396533
Bahrain,0.9464431067120437,0.9903163131806899,0.974607444212589
Bangladesh,0.9372180543449558,0.9804326343540086,0.9715025217413213
Barbados,0.9637534724848267,1.140733793999727,1.0956835167396533
Belarus,0.9840499392808534,0.9090908927857203,1.0
Belgium,0.8580725278417646,0.9455493444471925,0.9629799700181637
Belize,2.2527861390172625,1.8223445390935504,1.0148286300660185
Benin,0.9577930163033417,0.9886871101723738,1.0860460179095475
Bermuda,0.9637534724848267,1.140733793999727,1.0956835167396533
Bhutan,0.9335423997824365,0.9910240817205968,0.8920227051918709
Bolivia,1.0415123850665322,1.108905751567552,1.3852892745015908
Botswana,0.9958712760942445,1.0022857229082482,1.028070200417591
Brazil,0.7908634868346992,0.9339884997191493,1.0497992135239564
Brunei,0.9335423997824365,0.9910240817205968,0.8920227051918709
Bulgaria,0.8187310596920161,0.9343616252557965,1.0741092563405028
Burkina Faso,0.9577930163033417,0.9886871101723738,1.0860460179095475
Burundi,1.0693792933027602,1.0301252861194188,0.878147888611304
Cambodia,0.9335423997824365,0.9910240817205968,0.8920227051918709
Canada,1.043709581485857,1.0024916540128028,1.0355570016402913
Cape Verde,0.9577930163033417,0.9886871101723738,1.0860460179095475
Central African Republic,1.0588772431210627,0.9039331286867904,1.0139937968183605
Chad,1.0588772431210627,0.9039331286867904,1.0139937968183605
Chile,1.064888734877664,1.0450083033056556,0.9340543671223246
China,0.9931089848755461,1.07199996127869,1.0729999822668663
Colombia,0.996705907776039,1.0372984487654233,1.0302959566898402
Comoros,1.0693792933027602,1.0301252861194188,0.878147888611304
Congo,1.0588772431210627,0.9039331286867904,1.0139937968183605
Cook Islands,0.9335423997824365,0.9910240817205968,0.8920227051918709
Costa Rica,2.2527861390172625,1.8223445390935504,1.0148286300660185
Cote D Ivoire,0.9577930163033417,0.9886871101723738,1.0860460179095475
Cuba,0.9637534724848267,1.140733793999727,1.0956835167396533
Cyprus,0.9958712760942445,1.0022857229082482,1.028070200417591
Czech Republic,0.8133315515797135,0.9079570926416424,0.9987308890179596
Democratic People S Republic Of Korea,0.9335423997824365,0.9910240817205968,0.8920227051918709
Democratic Republic Of The Congo,1.0588772431210627,0.9039331286867904,1.0139937968183605
Denmark,0.7166888772268352,0.9503068395033687,1.0088198622393671
Djibouti,1.0693792933027602,1.0301252861194188,0.878147888611304
Dominica,0.9637534724848267,1.140733793999727,1.0956835167396533
Dominican Republic,0.9637534724848267,1.140733793999727,1.0956835167396533
Ecuador,0.8605308001747028,0.9103721320778576,1.283758469353639
Egypt,0.9753081300143052,0.990892689558564,0.9957328765733114
El Salvador,2.2527861390172625,1.8223445390935504,1.0148286300660185
Equatorial Guinea,1.0588772431210627,0.9039331286867904,1.0139937968183605
Estonia,0.8300450950489922,0.7753117610687164,1.0819666304255193
Ethiopia,1.0693792933027602,1.0301252861194188,0.878147888611304
Faeroe Islands,0.9889752006734752,1.0083060373925845,0.9747522179936229
Falkland Islands,1.0415123850665322,1.108905751567552,1.3852892745015908
Fiji,0.9335423997824365,0.9910240817205968,0.8920227051918709
Finland,0.5148971646474566,1.0905207664551595,1.0885949412165445
France,0.8978339546821812,0.8812657641040933,0.9387148421152527
French Guiana,1.0415123850665322,1.108905751567552,1.3852892745015908
French Polynesia,0.9335423997824365,0.9910240817205968,0.8920227051918709
Gabon,1.0588772431210627,0.9039331286867904,1.0139937968183605
Gambia,0.9577930163033417,0.9886871101723738,1.0860460179095475
Georgia,1.0019008128391365,0.9447524802579097,1.0023078054072547
Germany,0.8238816867887027,0.9631629340424807,1.0793146501562227
Ghana,0.9577930163033417,0.9886871101723738,1.0860460179095475
Greece,0.8877399627985615,0.8685590799003335,1.2390657973261472
Greenland,0.9889752006734752,1.0083060373925845,0.9747522179936229
Grenada,0.9637534724848267,1.140733793999727,1.0956835167396533
Guadeloupe,0.9637534724848267,1.140733793999727,1.0956835167396533
Guatemala,2.2527861390172625,1.8223445390935504,1.0148286300660185
Guinea,0.9577930163033417,0.9886871101723738,1.0860460179095475
Guinea Bissau,0.9577930163033417,0.9886871101723738,1.0860460179095475
Guyana,1.0415123850665322,1.108905751567552,1.3852892745015908
Haiti,0.9637534724848267,1.140733793999727,1.0956835167396533
Honduras,2.2527861390172625,1.8223445390935504,1.0148286300660185
Hong Kong,0.9392751960080762,1.069353074681562,1.1188882053941316
Hungary,0.8501974878328534,0.893792525998606,1.0026960118413701
Iceland,0.9958712760942445,1.0022857229082482,1.028070200417591
India,0.933915752270422,1.064953049166491,1.1329486945712148
Indonesia,0.9768578560582523,1.0907730929971482,1.088008373859857
Iraq,1.1182945253038894,1.0472105949358403,1.0282368436166462
Ireland,1.019947031023167,0.9281354841539353,1.0289389373627347
Islamic Republic Of Iran,1.0429999485257235,1.0300000132786018,0.995175119080373
Israel,1.0348178529545689,0.8650119019195109,0.9881667410182968
Italy (Including San Marino),0.9008664759222109,0.898692720830512,1.0056646148351263
Jamaica,0.9637534724848267,1.140733793999727,1.0956835167396533
Japan,0.9689087311334177,0.9203837569650115,0.992715658980094
Jordan,0.9464431067120437,0.9903163131806899,0.974607444212589
Kazakhstan,0.9845053300243152,0.9375173247255137,1.0394842482156288
Kenya,1.0693792933027602,1.0301252861194188,0.878147888611304
Kiribati,0.9335423997824365,0.9910240817205968,0.8920227051918709
Kuwait,1.0962466056147988,1.0939669876460127,1.0400760113122587
Kyrgyzstan,1.0019008128391365,0.9447524802579097,1.0023078054072547
Laos,0.9335423997824365,0.9910240817205968,0.8920227051918709
Latvia,0.6993355776907622,0.946555817809322,1.0652446666568642
Lebanon,0.9464431067120437,0.9903163131806899,0.974607444212589
Liberia,0.9577930163033417,0.9886871101723738,1.0860460179095475
Libya,0.978108635217932,1.005980656048141,1.0181565251173523
Lithuania,0.7213865584269323,0.9739582649315467,1.087049469128494
Luxembourg,0.7853077744440686,0.9371022898160143,1.0515513623220374
Madagascar,1.0693792933027602,1.0301252861194188,0.878147888611304
Malawi,1.0693792933027602,1.0301252861194188,0.878147888611304
Malaysia,1.011559161678338,0.8438845524832576,1.0531942224715722
Maldives,0.9335423997824365,0.9910240817205968,0.8920227051918709
Mali,0.9577930163033417,0.9886871101723738,1.0860460179095475
Malta,0.9889752006734752,1.0083060373925845,0.9747522179936229
Martinique,0.9637534724848267,1.140733793999727,1.0956835167396533
Mauritania,0.9577930163033417,0.9886871101723738,1.0860460179095475
Mauritius,1.0693792933027602,1.0301252861194188,0.878147888611304
Mexico,0.9938349001566259,1.077065311210734,0.9973879210935402
Mongolia,0.9335423997824365,0.9910240817205968,0.8920227051918709
Morocco,0.2819284431241861,3.9875509962025917,1.0159205066557533
Mozambique,1.0693792933027602,1.0301252861194188,0.878147888611304
Myanmar,0.9335423997824365,0.9910240817205968,0.8920227051918709
Namibia,0.9958712760942445,1.0022857229082482,1.028070200417591
Nauru,0.9335423997824365,0.9910240817205968,0.8920227051918709
Nepal,0.9335423997824365,0.9910240817205968,0.8920227051918709
Netherlands,0.7900231255956189,0.940790775793468,1.0091133695451635
