Nation,2021,2022,2023,2024
Afghanistan,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Albania,1.0621542667428627,0.9860482988208891,1.0395543155027918,0.9810538914543802
Algeria,1.090504842594569,1.0376193397014621,1.068484318112168,0.9688991436180455
Angola,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Antigua & Barbuda,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Argentina,1.0974746399191369,1.0559531845973913,1.0030155838919925,0.9789335854174305
Armenia,1.0265433782738647,1.0122718203955547,0.9910880553985789,1.029748282365243
Australia,1.0024668070418499,1.044966850335663,0.9979448253948343,1.0088921041745293
Austria,1.0154711215252543,0.9396768000711776,1.03178685102653,1.0466450911141676
Azerbaijan,1.068247728284668,1.0644741322162286,1.033986148420472,0.9573135230412898
Bahamas,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Bahrain,0.9947912726443899,0.98648842048619,1.0149586033388547,1.0003941431841892
Bangladesh,1.0765623137170708,1.040009696107841,0.9892323995686605,1.0442375964501494
Barbados,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Belarus,1.0913654210770738,0.9705476470675822,1.0000584668254,1.0333563303521567
Belgium,1.112032035848867,0.9406303621898512,0.9367916955285199,0.9900984498914733
Belize,1.119415282746045,1.0335728823176769,1.0260562562784088,1.0310372090881412
Benin,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Bermuda,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Bhutan,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Bolivia,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
Botswana,1.0917590362186733,0.9757799882470352,1.0245165414756163,1.0433239263720286
Brazil,1.0463909207280317,1.0420302592697666,1.0327003611222787,1.016946540865905
Brunei,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Bulgaria,1.1356769525266497,1.033840483643759,0.8593577153601386,0.972941357996002
Burkina Faso,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Burundi,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Cambodia,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Canada,1.0070497188159917,1.0265515107191359,0.9806632905372468,0.9995717063738515
Cape Verde,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Central African Republic,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Chad,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Chile,1.077697381344587,1.0558832555537294,0.9880601660530477,1.0426902580312996
China,1.0567141720129976,1.0152645877520141,1.0574061213185195,1.0406842218638195
Colombia,1.0927021419470484,1.1085370367268401,0.9809969355141576,1.0009429189367633
Comoros,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Congo,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Cook Islands,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Costa Rica,1.119415282746045,1.0335728823176769,1.0260562562784088,1.0310372090881412
Cote D Ivoire,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Cuba,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Cyprus,1.055183675658885,1.0614048789854469,1.013911073648083,1.038378126000238
Czech Republic,1.0538637965166615,0.9621186399100743,0.9164418503535922,0.9552097565887921
Democratic People S Republic Of Korea,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Democratic Republic Of The Congo,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Denmark,0.9983523852536577,1.0124004959928823,1.0049904075515244,1.0054069566251256
Djibouti,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Dominica,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Dominican Republic,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Ecuador,1.1626057412338247,1.047608494984363,1.0427271430186154,0.9934834995767176
Egypt,1.0753730753522526,1.0460311647195875,0.9869598575000468,1.0275570873968363
El Salvador,1.119415282746045,1.0335728823176769,1.0260562562784088,1.0310372090881412
Equatorial Guinea,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Estonia,1.0461506029821774,1.0303110367567585,0.8889702603154623,0.9908738975665458
Ethiopia,1.0756556977458442,1.0496175492554536,1.0329165558027014,1.0141412681922948
Faeroe Islands,1.0621542667428627,0.9860482988208891,1.0395543155027918,0.9810538914543802
Falkland Islands,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
